index,date,confirmed_cases
762,2022-02-22,189565
763,2022-02-23,198478
764,2022-02-24,207599
765,2022-02-25,217932
766,2022-02-26,292792
767,2022-02-27,344032
768,2022-02-28,400569
769,2022-03-01,456582
770,2022-03-02,533295
771,2022-03-03,610697
772,2022-03-04,683791
773,2022-03-05,751844
774,2022-03-06,792163
775,2022-03-07,829306
776,2022-03-08,868818
777,2022-03-09,899945
778,2022-03-10,932696
779,2022-03-11,963302
780,2022-03-12,992569
781,2022-03-13,1028437
782,2022-03-14,1057573
783,2022-03-15,1090400
784,2022-03-16,1123895
785,2022-03-17,1147435
786,2022-03-18,1171570
787,2022-03-19,1193563
788,2022-03-20,1210422
789,2022-03-21,1228883
790,2022-03-22,1249958
791,2022-03-23,1266606
792,2022-03-24,1283788
793,2022-03-25,1299036
794,2022-03-26,1313471
795,2022-03-27,1327092
796,2022-03-28,1340972
797,2022-03-29,1355883
798,2022-03-30,1371807
799,2022-03-31,1385495
800,2022-04-01,1400358
801,2022-04-02,1414142
802,2022-04-03,1430893
803,2022-04-04,1446956
804,2022-04-05,1466859
805,2022-04-06,1490014
806,2022-04-07,1515913
807,2022-04-08,1541981
808,2022-04-09,1569185
809,2022-04-10,1597094
810,2022-04-11,1626085
811,2022-04-12,1652078
812,2022-04-13,1682737
813,2022-04-14,1713300
814,2022-04-15,1738527
815,2022-04-16,1762757
816,2022-04-17,1787635
817,2022-04-18,1811382
818,2022-04-19,1832597
819,2022-04-20,1849430
820,2022-04-21,1869000
821,2022-04-22,1888027
822,2022-04-23,1911669
823,2022-04-24,1933414
824,2022-04-25,1953258
825,2022-04-26,1970377
826,2022-04-27,1983788
827,2022-04-28,1994593
828,2022-04-29,2005524
829,2022-04-30,2015624
830,2022-05-01,2024284
831,2022-05-02,2031342
832,2022-05-03,2037518
833,2022-05-04,2043178
834,2022-05-05,2048423
835,2022-05-06,2053250
836,2022-05-07,2057995
837,2022-05-08,2062668
838,2022-05-09,2066938
839,2022-05-10,2070480
